"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Social Robots in Therapy and Care","D. H. García; P. G. Esteban; H. R. Lee; M. Romeo; E. Senft; E. Billing","Centre for Robotics and Neural Systems, University of Plymouth, Plymouth, United Kingdom; Department of Mechanical Engineering, Vrije Universiteit Brussel, Brussel, Belgium; Computer Science and Engineering, UC San Diego, San Diego, United States; School of Computer Science, University of Manchester, Manchester, United Kingdom; Centre for Robotics and Neural Systems, University of Plymouth, Plymouth, United Kingdom; School of Informatics, University of Skövde, Skövde, Sweden","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","669","670","The Social Robots in Therapy workshop series aims at advancing research topics related to the use of robots in the contexts of Social Care and Robot-Assisted Therapy (RAT). Robots in social care and therapy have been a long time promise in HRI as they have the opportunity to improve patients life significantly. Multiple challenges have to be addressed for this, such as building platforms that work in proximity with patients, therapists and health-care professionals; understanding user needs; developing adaptive and autonomous robot interactions; and addressing ethical questions regarding the use of robots with a vulnerable population. The full-day workshop follows last year's edition which centered on how social robots can improve health-care interventions, how increasing the degree of autonomy of the robots might affect therapies, and how to overcome the ethical challenges inherent to the use of robot assisted technologies. This 2nd edition of the workshop will be focused on the importance of equipping social robots with socio-emotional intelligence and the ability to perform meaningful and personalized interactions. This workshop aims to bring together researchers and industry experts in the fields of Human-Robot Interaction, Machine Learning and Robots in Health and Social Care. It will be an opportunity for all to share and discuss ideas, strategies and findings to guide the design and development of robot-assisted systems for therapy and social care implementations that can provide personalize, natural, engaging and autonomous interactions with patients (and health-care providers).","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673243","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673243","Social Robots;Robots in Therapy;Social Intelligence;Supervised Autonomy;Personalized Behaviors;Adaptive Behaviors","Medical treatment;Robot kinematics;Conferences;Human-robot interaction;Radio access technologies;Service robots","biomedical education;ethical aspects;health care;human-robot interaction;medical robotics;mobile robots;patient treatment","robot-assisted systems;social care implementations;health-care providers;social robots;health-care professionals;adaptive robot interactions;autonomous robot interactions;health-care interventions;robot assisted technologies;human-robot interaction;robot-assisted therapy","","11","","0","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Data Recording for Responsible Robotics","J. Skerlj; M. Braun; S. Witz; S. Breuer; M. Bak; S. Scholz; A. Naceri; R. Müller; S. Haddadin; I. Eisenberger","Chair of Robotics and Systems Intelligence, Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Department of Science, Technology and Society, Department of Economics and Policy, School of Social Sciences and Technology, School of Management, Technical University of Munich, Munich, Germany; Department of Innovation and Digitalisation in Law, University of Vienna, Juridicum, Vienna, Austria; Department of Science, Technology and Society, Department of Economics and Policy, School of Social Sciences and Technology, School of Management, Technical University of Munich, Munich, Germany; Institute of History and Ethics in Medicine, School of Medicine, Technical University of Munich, Munich, Germany; Faculty of Law, Institute of Public Law and Political Science, University of Graz, Graz, Austria; Chair of Robotics and Systems Intelligence, Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Department of Science, Technology and Society, Department of Economics and Policy, School of Social Sciences and Technology, School of Management, Technical University of Munich, Munich, Germany; Chair of Robotics and Systems Intelligence, Munich Institute of Robotics and Machine Intelligence, Technical University of Munich, Munich, Germany; Department of Innovation and Digitalisation in Law, University of Vienna, Juridicum, Vienna, Austria","2023 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","25 Jul 2023","2023","","","103","109","The last decades have seen continuous attempts to advance the application of robotics and artificial intelligence (AI) research in several areas such as healthcare environments. However, using (semi)autonomous robots in healthcare also poses risks that need to be addressed throughout the systems' lifecycle. In this work, we present our version of a data recorder, as the output of an interdisciplinary research collaboration that addresses relevant social, ethical, legal, and technical aspects of advanced robotics in healthcare. We use social science insights from interviews and ethnographic fieldwork with relevant stakeholders as well as ethical and legal analyses to derive and implement four technical requirements for a data recorder to enhance accountability and transparency of a service humanoid robot, GARMI, assisting in healthcare. We present a tool to log and visualize data from human-robot interactions as a means of including non-expert users and other relevant stakeholders in accountability relationships, which also helps us to enhance the transparency of advanced robotics in general and to fulfill the examined requirements of the Medical Device Regulation (MDR) and the General Data Protection Regulation (GDPR).","2162-7576","978-1-6654-6424-6","10.1109/ARSO56563.2023.10187414","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187414","Legal and ethical regulations;HRI and social robotics;medical and healthcare robotics","Ethics;Law;Data visualization;Humanoid robots;Human-robot interaction;Medical services;Stakeholders","artificial intelligence;data protection;data visualisation;ethical aspects;health care;human-robot interaction;humanoid robots;law;mobile robots","advanced robotics;artificial intelligence research;autonomous robots;data recording;data visualization;ethical aspects;GARMI;GDPR;General Data Protection Regulation;healthcare environments;human-robot interactions;interdisciplinary research collaboration;legal aspects;MDR;medical device regulation;responsible robotics;service humanoid robot;social aspects;social science insights;technical aspects;technical requirements","","","","33","IEEE","25 Jul 2023","","","IEEE","IEEE Conferences"
"Healthy Pepper: Nutritional Education Through Social Robotics and Storytelling","A. Balzotti; B. De Carolis; S. Massaro; L. Perla; V. Rossano","Dept. of Ed. Sc.Psy.Com., University of Bari, Bari, Italy; Dept of Computer Science, University of Bari, Bari, Italy; Dept. of Ed. Sc.Psy.Com., University of Bari, Bari, Italy; Dept. of Ed. Sc.Psy.Com., University of Bari, Bari, Italy; Dept of Computer Science, University of Bari, Bari, Italy","2023 IEEE International Conference on Advanced Learning Technologies (ICALT)","29 Sep 2023","2023","","","121","123","Childhood overweight and obesity represent an alarming problem worldwide with strong consequences both at health and social levels. Learning based on storytelling is an effective approach to enhancing children's knowledge and correct behaviors, especially when it is conveyed by engaging novel technologies. Among these technologies, social robots have a special appeal for educational purposes. The paper presents a pilot project in which the social robot Pepper is used as an educational storyteller in the context of nutrition. To investigate the appropriateness of the approach, a preliminary study was performed to compare the effects of Pepper vs a human storyteller. Results are interesting in terms of engagement, user experience, trust, and learning of relevant concepts, suggesting that the proposed approach can be effective in this domain.","2161-377X","979-8-3503-0054-3","10.1109/ICALT58122.2023.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260852","social robot;storytelling;education","Pediatrics;Obesity;Social robots;User experience;Behavioral sciences","computer aided instruction;health care;human-robot interaction;humanities;mobile robots;user experience","alarming problem;correct behaviors;educational purposes;educational storyteller;enhancing children;healthy Pepper;human storyteller;nutritional education;obesity;social levels;social robot Pepper;social robotics;social robots;special appeal;storytelling;strong consequences","","","","14","IEEE","29 Sep 2023","","","IEEE","IEEE Conferences"
"Robot Musical Theater for Climate Change Education","Y. Lee; A. Wyatt; J. Dong; T. Upthegrove; B. Hale; C. H. Lyles; K. Choi; J. Kim; S. Yu; D. Vajir; P. Newbill; M. Jeon","Department of industrial and systems engineering, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; The School of Performing Art, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Department of industrial and systems engineering, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Institute for Creativity, Arts and Technology Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Institute for Creativity, Arts and Technology Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Center for Educational Networks and Imapcts Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Human Development and Family Science, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Human Development and Family Science, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Human Development and Family Science, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Department of industrial and systems engineering, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Center for Educational Networks and Imapcts Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA; Department of industrial and systems engineering, Virginia Polytechnic Institute and State University, Blacksgurg, VA, USA","2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","29 Sep 2022","2022","","","870","874","The use of social robots has recently been investigated in various areas, including STEM (Science, Technology, Engineering, and Mathematics) education and artistic performances. To inform children of the seriousness of climate change and awareness that they can make change, we created the Robot Musical Theater performance. In this project, natural elements (wind, earth, fire, and water) were anthropomorphized and represented by humanoid robots (Pepper, Milo, and Nao). The robots were designed to motivate audience to participate in the action to prevent climate change. Because of COVID, only fourteen visitors as a single group were allowed to participate in real-time and posted to YouTube, where at the time of submission, 141 people have viewed the performance. The participants provided positive comments on the performance and showed their willingness to participate in the movement to prevent climate change, and expressed their further interest in STEM learning. This performance is expected to contribute to enhancing informal STEM and robotics learning, as well as advancing robotic arts.","","978-1-6654-0731-1","10.1109/HRI53351.2022.9889644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889644","robot theater;robotic art;STEM education;alienation effect;interactive theater;child-robot interaction","Earth;Climate change;Video on demand;Education;Social robots;Music;Humanoid robots","art;climate mitigation;computer aided instruction;humanoid robots;human-robot interaction;interactive systems;learning (artificial intelligence);music;robots;social networking (online)","climate change education;social robots;Robot Musical Theater performance;humanoid robots;robotics;robotic arts","","2","","24","IEEE","29 Sep 2022","","","IEEE","IEEE Conferences"
"SanitizerBot: How Human-in-the-Loop Social Robots Can Playfully Support Humans","Y. -L. Tsai; P. R. Bana; S. Loiselle; H. Knight","Collaborative Robotics and Intelligent Systems Institute (CoRIS), Oregon State University, Corvallis, OR, USA; Collaborative Robotics and Intelligent Systems Institute (CoRIS), Oregon State University, Corvallis, OR, USA; Collaborative Robotics and Intelligent Systems Institute (CoRIS), Oregon State University, Corvallis, OR, USA; Faculty of Collaborative Robotics and Intelligent Systems Institute (CoRIS), Oregon State University, Corvallis, OR, USA","2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","26 Dec 2022","2022","","","8278","8285","This paper evaluates a robot that distributed hand-sanitizer over an eight month period (October 2020-June 2021) in public places on the Oregon State University campus. During COVID times, many robots have been deployed in public places as social distancing enforcers, food delivery robots, UV-sanitation robots and more, but few studies have assessed the social situations of these robots. Using the context of robot distributing hand sanitizer, this work explores the benefits that social robots may provide to encouraging healthy human activities, as well as ways in which street-performance inspired approaches and a bit of humor might improve the quality and experience of functional human-robot interactions. After gaining human-in-the-loop deployment experience with a customized interface to enable both planned and improvized responses to human bystanders, we run two sub-studies. In the first, we compare the performance of the robot (moving or still) relative to a traditional hand sanitizer dispenser stick ($\mathrm{N}=2048$, 3 week data collection period). In the second, we evaluate how varied utterance strategies further impact the interaction results ($\mathrm{N}=185$, 2 week data collection period). The robot dramatically outperforms the stick dispenser across all tracked behavioral variables, cuing high levels of positive social engagement. This work finds the utterance design is more complex socially, and offer insights to future robot designers about how to integrate helpful and playful speech into service robot interactions. Finally, across both sub-studies, the work shows that people in groups are more likely to engage with the robot and each other, as well as sanitize their hands.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981917","Human-Robot-Interaction;Human-in-the-loop;Social Robotics;Service Robots;Entertainment Methods","COVID-19;Service robots;Social robots;Human factors;Data collection;Human in the loop;Social factors","health care;mobile robots;service robots;social robots;user interfaces","behavioral variables;customized interface;food delivery robots;functional human-robot interactions;hand sanitization;hand sanitizer dispenser stick;hand sanitizer distribution;healthy human activities;human bystanders;human-in-the-loop deployment experience;human-in-the-loop social robots;Oregon State University campus;positive social engagement;robot design;SanitizerBot;service robot interactions;social distancing;social situations;utterance design;UV-sanitation robots","","","","46","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Aged Care with Socially Assistive Robotics under Advance Care Planning","J. Koimizu","Kyoto Prefectural University of Medicine, Kyoto, Japan","2019 IEEE International Conference on Advanced Robotics and its Social Impacts (ARSO)","6 Jan 2020","2019","","","34","38","Socially assistive robotics (SAR) is expected to improve care for aged people. However, SAR-assisted care raises ethical issues such as safety, dependence, privacy, dehumanization, etc. Although guidelines have been prepared for addressing these issues in the development process, some are beyond the responsibility of engineers. This paper argues for a role of healthcare professionals in ethically sound SAR-assisted care, connecting the concept of advance care planning (ACP) with the ethics of SAR. This process allows the care to reflect the preferences and values of care recipients, but there are several barriers to ACP in SAR-assisted care. This paper suggests measures for improving conduct of the ACP process: education, and community care. Decision-making that appropriately reflects the preferences of the care recipient enables SAR-assisted care to be ethically acceptable.","2162-7576","978-1-7281-3176-4","10.1109/ARSO46408.2019.8948742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948742","","Ethics;Privacy;Medical services;Aging;Rehabilitation robotics;Safety;Planning","ethical aspects;health care;human-robot interaction;medical robotics","advance care planning;care recipient;community care;aged care;socially assistive robotics;ethically sound SAR-assisted care;ACP;ethical issues","","","","29","IEEE","6 Jan 2020","","","IEEE","IEEE Conferences"
"NAO robot, an educational assistant in training, educational and therapeutic sessions","M. Feidakis; I. Gkolompia; A. Marnelaki; K. Marathaki; S. Emmanouilidou; E. Agrianiti","Dept. of Electrical and Electronics Engineering, University of West Attica, Egaleo, Greece; 5th Elementary School of Metamorfosis, Athens, Greece; Dept. of Speech and Language Therapy, University of Patras, Patra, Greece; Department of Special Education, University of Thessaly, Volos, Greece; Dept. of Early Childhood Education, National & Kapodistrian University of Athens, Athens, Greece; Dept. of Electrical and Electronics Engineering, University of West Attica, Egaleo, Greece","2023 IEEE Global Engineering Education Conference (EDUCON)","22 May 2023","2023","","","1","6","During the last decade, social robots and humanoids have been reported as a valuable tool that advances State-of-the-Art of Technology in Education and Learning (TEL), both in General and Special Education. Social robots seem to hold the capacity to enhance both Academic and Socio-Emotional Learning (SEL) skills of young students; also they seem to promote learning through innovative applications. In the current paper, we present our attempt to evaluate the added pedagogical value of the humanoid Softbank NAO 6, and its impact on students' cognitive and SEL outcomes. We have designed and implemented five (5) applications addressing different skills (music motor, ecology awareness, cultural heritage, communication and social skills,). Furthermore, we have conducted five (5) different pilot research studies, as proof-of-concept, targeting K12 in real education settings (General & Special Education Schools, Dancing School). Totally over 115 students participated, validating our solutions. Our initial results support the positive impact of the NAO robot on both students' cognitive and emo-social benefits. Future steps prompt for a more systematic and scientific research approach to reach safer results. Furthermore, the integration of machine learning mechanisms would lead to a more ‘living robot’.","2165-9567","979-8-3503-9943-1","10.1109/EDUCON54358.2023.10125229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125229","Social robots;education;special education;NAO;humanoid robot;K12;dancing school","Training;Systematics;Social robots;Humanoid robots;Machine learning;Ecology;Global communication;Cultural differences;Engineering education","computer aided instruction;educational institutions;humanoid robots;learning (artificial intelligence)","added pedagogical value;different skills;education settings;educational assistant;emo-social benefits;General & Special Education Schools;humanoid Softbank NAO 6;humanoids;innovative applications;living robot;machine learning mechanisms;NAO robot;social robots;social skills;young students","","","","14","IEEE","22 May 2023","","","IEEE","IEEE Conferences"
"Robot-assisted Psycho-education to Enhance Alzheimer’s Caregiver Health","F. Yuan; S. Bowland; L. Proctor; J. Blackburn; N. Mukherjee; R. Bray; R. P. Lopez; K. Wick; X. Zhao","University of Tennessee, Knoxville, Knoxville, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA; MGH Institute of Health Professions, Boston, MA, USA; University of Tennessee, Chattanooga, Chattanooga, TN, USA; University of Tennessee, Knoxville, Knoxville, TN, USA","2022 IEEE/ACM Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","22 Dec 2022","2022","","","57","65","Approximately 6.5 million older adults are living with Alzheimer’s disease and related dementia (ADRD) in the United States. In 2021, more than 11 million Americans provided care for people with ADRD as informal caregivers. Dementia caregiving is exhausting and time-intensive which can lead to increased risk for poor mental and physical health. To address caregiver burden, we developed a robot-assisted psycho-educational program using a humanoid social robot for dementia caregivers. The intervention had 3 aims: to help caregivers prepare themselves for their roles in their care-giving journey, to teach caregivers techniques to mitigate stress and challenges of caregiving, and to prevent poor mental and physical health outcomes. A usability study was conducted with 9 caregivers to evaluate user experience and satisfaction with our program. Participants reported a positive user experience with the program and believed it would be useful to other dementia caregivers. The results demonstrated the feasibility of our robot-assisted psycho-educational intervention to support and benefit caregivers. Several programmatic limitations were identified which, once addressed, will allow for a wider application of the program among dementia caregivers.","2832-2975","978-1-4503-9476-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9983658","social robots;psychoeducation;human-robot interaction;Alzheimer’s disease;caregiver health","Social robots;Humanoid robots;Human factors;User experience;Usability;Alzheimer's disease;Older adults","diseases;geriatrics;health care;human-robot interaction;humanoid robots;medical disorders;medical robotics;patient care;social robots","ADRD;Alzheimer's caregiver health;Alzheimer's disease;Alzheimer's disease related dementia;dementia caregivers;dementia caregiving;humanoid social robot;informal caregivers;mental health outcomes;physical health outcomes;robot assisted psycho educational intervention;robot assisted psycho educational program;United States","","","","35","","22 Dec 2022","","","IEEE","IEEE Conferences"
"Teaching Social Robotics to Motivate Women into Engineering and Robotics Careers","A. Barco; R. M. Walsh; A. Block; K. Loveys; A. McDaid; E. Broadbent","Amsterdam School of Communcation Research (ASCoR), University of Amsterdam, Amsterdam, The Netherlands; Tufts University, Boston, USA; Tufts University, Boston, USA; Department of Psychological Medicine, The University of Auckland, Auckland, New Zealand; Department of Mechanical Engineering, The University of Auckland, Auckland, New Zealand; Department of Psychological Medicine, The University of Auckland, Auckland, New Zealand","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","518","519","Women are underrepresented in robotics, and this may be partly due to the educational emphasis on mechanical applications rather than social applications of robotics. This study aimed to investigate whether teaching robotics using social robots increased girls' engagement compared to using more mechanical vex robots. 20 girls were recruited from school robotics classes. They were taught 30 minutes of VEX robotics and 30 minutes of social robotics in a counter-balanced order. Engagement was measured using questionnaires and observations. Results showed that girls were significantly more engaged in the social robot classes than the vex robot classes. This pilot study suggests a possible way to encourage more girls to study robotics.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673094","social robots;mechanical robots;woman;engineering;robotics","Robots;Education;Engineering profession;Mechanical engineering;Psychology;Automation;Programming","computer aided instruction;control engineering education;educational institutions;educational robots;gender issues;human factors;robot dynamics;teaching","mechanical applications;social robots;mechanical vex robots;school robotics classes;VEX robotics;social robot classes;vex robot classes;social robotics teaching","","2","","8","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Social Robots as Communication Partners to Support Emotional Health and Well-Being","G. Laban","Institute of Neuroscience and Psychology, University of Glasgow, Glasgow, UK","2022 10th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)","5 Apr 2023","2022","","","1","5","Social robots are attracting increasing attention for their potential use in social and care settings. However, these agents do not (yet) offer the same opportunities as humans for social interactions. Given the importance of self-disclosure for psychological health, I am studying how humans disclose and express their emotions to social robots, and accordingly, how verbal interactions with social robots can support human users' emotional health and well-being. First, I was studying the role of embodiment in humans' disclosures to a social robot, compared to interactions with humans or disembodied agents. Following this, I studied the role of novelty in long-term human-robot interaction. Finally, I investigated how long-term speech-based interactions with social robots can be introduced as an intervention for individuals living in difficult situations. The results of the studies demonstrate the unique psychological nature of these dynamic social interactions with social robots.","","978-1-6654-5490-2","10.1109/ACIIW57231.2022.10086018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10086018","Human-robot interaction;Affective computing;Social robots;Emotion;Communication;Self-disclosure;Experimental psychology;Wellbeing;Stress","Affective computing;Conferences;Social robots;Psychology","human-robot interaction;psychology;social robots","communication partners;dynamic social interactions;emotional health;emotional well-being;human users;human-robot interaction;long-term speech-based interactions;psychological nature;social care settings;social robot;social robots","","","","41","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
